"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0400000US12","Florida","20984400","*****","15613540","461","11288419","8183","3224452","14150","42654","4004","578136","7187","11076","3072","78348","9051","390455","17096","25634","5759","364821","16026","5370860","461","4479896","30854","170056","14599","20981","6068","9951","2761","2861","1832","523684","26684","163431","13310","62879","6320","100552","11099"
"0400000US13","Georgia","10429379","*****","9427907","3345","5487048","4003","3245371","12914","18335","2443","408067","7143","7967","4781","27473","4733","233646","12888","11704","3237","221942","12880","1001472","3345","635908","18736","46690","8297","18520","4089","2848","1712","627","442","244360","17324","52519","6743","24163","3739","28356","5011"
"0400000US15","Hawaii","1427538","*****","1277413","*****","310584","971","22629","2276","1659","671","532881","8970","132740","5282","2268","946","274652","11615","2241","926","272411","11573","150125","*****","46529","4417","757","553","1002","539","12758","3284","12531","3990","19208","3108","57340","5253","6607","1796","50733","4919"
"0400000US16","Idaho","1716943","*****","1503324","555","1407302","1540","10947","2643","19136","2052","22698","3389","2313","1095","1724","1013","39204","4636","1438","717","37766","4552","213619","555","138709","8049","400","306","2453","1103","415","314","766","537","57369","7234","13507","3649","4798","1921","8709","3192"
"0400000US17","Illinois","12802023","*****","10595096","1564","7834272","4560","1790512","9362","12784","1786","689701","6059","3822","1787","19975","4106","244030","11093","11053","2368","232977","10900","2206927","1564","1285640","26683","28474","4150","17126","4400","5267","1251","1038","541","777941","25961","91441","8329","56439","6959","35002","5361"
"0400000US18","Indiana","6666818","*****","6205200","1780","5278785","2647","613080","6521","9694","1477","146611","4264","1302","701","9282","2510","146446","7425","3303","992","143143","7358","461618","1780","299112","8713","10881","2616","2703","1030","1755","1259","139","145","116443","8174","30585","4391","18095","3627","12490","2799"
"0400000US19","Iowa","3145711","*****","2959965","1391","2701250","1762","103989","4203","7825","1140","80937","2850","5604","2148","2532","1707","57828","4974","757","359","57071","4947","185746","1391","129816","5254","3087","1117","2966","1754","777","706","272","243","38927","5053","9901","2103","4758","1421","5143","1974"
"0400000US20","Kansas","2913123","*****","2567613","919","2210739","1447","161148","4593","17617","2361","85386","3289","2861","1456","3283","1217","86579","5542","772","350","85807","5499","345510","919","251476","7708","6059","2048","3809","1327","454","350","851","921","68102","7643","14759","2404","7501","1887","7258","1820"
"0400000US21","Kentucky","4454189","*****","4299026","2309","3769995","2657","355829","6238","6882","1682","64381","2736","3470","1487","7045","2617","91424","6132","1589","849","89835","6140","155163","2309","102675","5415","5808","1474","895","617","497","446","57","109","35132","5164","10099","1950","6073","1593","4026","1353"
"0400000US22","Louisiana","4684333","*****","4440713","2482","2739086","3010","1505991","6526","21942","2201","83959","2085","1227","778","11015","2930","77493","6587","2361","926","75132","6470","243620","2482","151732","6736","15348","3304","1906","1022","857","560","290","381","64571","5904","8916","2058","4330","1496","4586","1279"
"0400000US23","Maine","1335907","*****","1314008","892","1247090","798","15761","1307","8225","1159","15141","1286","228","186","833","523","26730","2338","550","367","26180","2314","21899","892","14521","1362","611","422","1115","599","16","43","0","175","1788","874","3848","1060","1124","754","2724","870"
"0400000US24","Maryland","6052177","*****","5439468","502","3066146","3413","1776692","9092","11879","1586","389297","4417","1958","741","20777","4374","172719","9869","8202","3280","164517","9483","612709","502","256337","12394","29981","5485","7052","2403","2031","841","185","303","284526","12006","32597","4457","16464","2641","16133","2912"
"0400000US25","Massachusetts","6859819","*****","6048527","150","4906564","8048","477846","7435","9439","2037","450311","5920","953","701","61756","9416","141658","9533","16643","3190","125015","9105","811292","150","480847","14467","54041","6630","5658","1944","2406","1201","40","65","200085","13153","68215","7748","15428","3284","52787","7450"
"0400000US26","Michigan","9962311","*****","9457913","804","7476534","2419","1359264","8494","45421","3350","306376","5569","2340","935","14060","3155","253918","10019","7730","2199","246188","9613","504398","804","338241","9323","15351","2849","8040","1752","1676","580","611","476","99868","8322","40611","5336","20633","3609","19978","3183"
"0400000US27","Minnesota","5576606","*****","5279940","938","4455056","1687","356949","5831","53674","2746","272228","4049","1653","773","5909","1990","134471","7337","4405","1311","130066","7193","296666","938","155409","7388","4181","1254","7129","2068","966","488","391","293","104824","7366","23766","3917","12808","2680","10958","2414"
